property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,furnishing_type,luxury_category,total_rooms,floor_category,price
0,89,3.0,3.0,0.0,3.0,1815.0,0.0,0.0,0.0,0.0,1,1.0,6.0,0.0,1.65
0,95,2.0,2.0,3.0,3.0,1300.0,0.0,0.0,0.0,0.0,2,2.0,7.0,2.0,0.98
0,20,3.0,4.0,3.0,3.0,1980.0,0.0,0.0,0.0,0.0,1,1.0,10.0,2.0,2.2
0,98,3.0,3.0,1.0,3.0,1550.0,0.0,0.0,0.0,0.0,1,0.0,7.0,0.0,1.5
1,5,4.0,4.0,3.0,3.0,3222.0,1.0,1.0,1.0,1.0,1,2.0,15.0,1.0,4.35
0,78,3.0,3.0,1.0,3.0,1410.0,0.0,0.0,0.0,1.0,1,2.0,8.0,0.0,1.3
0,82,3.0,4.0,3.0,0.0,1621.0,0.0,1.0,0.0,0.0,1,1.0,11.0,2.0,1.1
0,94,3.0,3.0,3.0,3.0,1674.0,0.0,0.0,0.0,0.0,0,0.0,10.0,2.0,1.59
0,99,3.0,3.0,3.0,1.0,1641.0,0.0,0.0,0.0,0.0,1,2.0,9.0,0.0,1.65
0,92,3.0,3.0,3.0,3.0,1750.0,0.0,1.0,0.0,0.0,0,1.0,10.0,0.0,2.28
0,103,4.0,4.0,3.0,3.0,2126.0,0.0,1.0,0.0,1.0,1,2.0,13.0,2.0,1.6
0,103,3.0,3.0,3.0,3.0,1571.0,0.0,0.0,0.0,0.0,1,2.0,10.0,0.0,1.21
0,103,3.0,3.0,3.0,0.0,1440.0,0.0,1.0,0.0,0.0,1,2.0,10.0,0.0,1.25
0,25,2.0,2.0,3.0,0.0,1273.0,0.0,0.0,0.0,0.0,1,2.0,7.0,0.0,0.98
0,10,2.0,3.0,3.0,3.0,1154.0,0.0,0.0,0.0,0.0,1,2.0,8.0,2.0,0.93
0,69,3.0,3.0,2.0,1.0,1393.0,0.0,0.0,0.0,0.0,1,2.0,9.0,2.0,2.24
0,63,3.0,3.0,3.0,2.0,1799.0,0.0,1.0,0.0,0.0,2,2.0,10.0,2.0,1.55
0,89,2.0,2.0,3.0,3.0,1165.0,0.0,0.0,0.0,0.0,1,1.0,7.0,0.0,0.78
0,17,3.0,3.0,2.0,4.0,1420.0,0.0,0.0,0.0,0.0,1,2.0,8.0,2.0,1.93
0,6,4.0,4.0,3.0,3.0,3076.0,0.0,1.0,0.0,0.0,2,2.0,12.0,0.0,2.6
1,16,4.0,4.0,3.0,3.0,6350.0,0.0,1.0,0.0,1.0,2,2.0,13.0,1.0,7.46
0,27,4.0,6.0,3.0,1.0,2812.0,0.0,1.0,0.0,1.0,0,1.0,15.0,2.0,4.8
0,10,2.0,2.0,3.0,3.0,1181.0,0.0,1.0,0.0,0.0,1,0.0,8.0,2.0,0.97
0,4,2.0,2.0,2.0,3.0,823.0,0.0,0.0,0.0,0.0,1,2.0,6.0,0.0,0.97
0,105,3.0,4.0,2.0,4.0,1466.0,0.0,0.0,0.0,0.0,1,2.0,9.0,1.0,1.7
1,31,3.0,3.0,3.0,0.0,2430.0,0.0,0.0,0.0,0.0,1,1.0,9.0,1.0,6.75
0,103,3.0,3.0,3.0,0.0,2171.0,0.0,1.0,0.0,1.0,1,2.0,11.0,2.0,1.2
0,80,3.0,5.0,3.0,3.0,1530.0,0.0,1.0,0.0,1.0,1,0.0,13.0,2.0,1.65
1,19,2.0,7.0,3.0,0.0,1300.0,0.0,0.0,0.0,0.0,1,1.0,12.0,2.0,1.5
0,96,2.0,2.0,3.0,3.0,1214.0,1.0,0.0,0.0,0.0,1,2.0,8.0,2.0,0.69
0,97,2.0,2.0,3.0,3.0,1660.0,0.0,0.0,0.0,0.0,1,1.0,7.0,0.0,1.2
0,105,3.0,4.0,3.0,0.0,1800.0,1.0,0.0,0.0,0.0,1,2.0,11.0,1.0,0.75
0,55,3.0,3.0,3.0,0.0,2205.0,0.0,0.0,0.0,1.0,1,2.0,10.0,2.0,1.69
